,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim,n_channels
99,JNT,2.0546875,5.646237373352051,11898.060000000003,6381.112000000002,1.0110994577407837,0.4785851240158081,6612.0,1.8470808748727574,0.17273560956397238,16.9,27.7,27.0,1.0
100,JOZ,3.6015625,5.199999809265137,7511.510000000001,5852.827000000001,1.431414008140564,0.5799505114555359,437.0,1.6666856508891195,0.260183328161071,14.3,25.3,26.6,1.0
101,JRY,1.7734375,4.604345798492432,9163.080000000002,5575.832000000001,1.1265612840652466,0.5266623497009277,168.0,1.5267224856191857,0.12100032164162255,16.3,18.4,33.9,1.0
102,JSN,3.6015625,5.2801513671875,6149.620000000001,4008.159000000001,1.2016892433166504,0.6143900752067566,1833.0,1.562311019430038,0.09593627632936258,17.2,13.6,30.4,1.0
103,JSR,5.1484375,7.992496490478516,36429.21000000001,44923.21100000001,2.0439906120300293,1.1041196584701538,7565.0,1.7365198216281843,0.19248628449030963,40.1,39.9,39.8,1.0
104,JST,3.7421875,5.730619430541992,17754.000000000004,16625.223000000005,1.6525768041610718,0.6322014331817627,4888.0,2.0669604876819605,0.26329128671693536,29.7,29.7,29.5,1.0
105,JSW,2.1953125,6.225752830505371,19015.600000000002,11282.674000000003,1.1331557035446167,0.5469271540641785,18944.0,1.7277164109899212,0.10405344624139981,32.3,19.6,33.2,1.0
106,KFI,4.1640625,10.75918197631836,37823.87000000001,29948.518000000007,1.502970576286316,0.9944160580635071,133416.0,1.5211551168822612,0.14707830057970692,37.2,35.7,37.0,1.0
107,LAU,3.4609375,5.556977272033691,8238.230000000001,4958.000000000001,1.1788370609283447,0.6121711134910583,2116.0,2.6108731219734236,0.7867540947625987,27.7,25.7,13.2,1.0
108,LEV,2.3359375,7.082372188568115,20084.030000000002,14203.856000000003,1.3403043746948242,0.8011130690574646,3869.0,1.3715670868301613,0.10423491147459735,24.6,22.6,44.2,1.0
109,LIO,2.1953125,6.400000095367432,13282.940000000002,8705.156000000003,1.285652995109558,0.6720151305198669,9559.0,1.504756339362532,0.16336266572991345,23.3,21.6,30.9,1.0
110,LOS,2.3359375,6.352952003479004,8768.310000000001,5703.642000000002,1.3193451166152954,0.6728041172027588,4731.0,1.704096662615458,0.29985468966354906,23.4,21.4,20.4,1.0
111,LOV,3.7421875,5.083306312561035,7663.960000000002,5117.864000000001,1.123575210571289,0.5725615620613098,496.0,1.3112911082442296,0.12041235892102654,14.7,14.7,40.1,1.0
112,LTA,4.1640625,10.833281517028809,7684.950000000002,7667.169000000002,2.060509204864502,1.4026105403900146,1836.0,1.4984730887689248,0.21131547684758847,22.7,22.7,22.5,1.0
113,LTF,7.6796875,8.246211051940918,38166.030000000006,28594.68500000001,1.3678679466247559,0.7669805288314819,140976.0,3.3344991304127745,1.0121583031038184,60.8,52.6,15.3,1.0
114,LTJ,3.0390625,4.758151054382324,6026.700000000001,3894.695000000001,1.2150490283966064,0.45167264342308044,550.0,1.896672466085791,0.1427241695758432,18.7,18.7,20.1,1.0
115,LTL,7.8203125,10.207839965820312,12240.630000000003,8191.307000000002,1.250357985496521,0.800268292427063,8448.0,2.7490028395511423,0.7373865989668537,35.2,30.3,13.8,1.0
116,MAR,2.3359375,6.324555397033691,29011.340000000007,18510.845000000005,1.2622766494750977,0.6112953424453735,2964.0,1.2606200730982697,0.07843852864100964,24.9,21.6,61.2,1.0
117,MAZ,7.6796875,8.246211051940918,12961.760000000002,9213.777000000002,1.297123908996582,0.7801334857940674,14875.0,2.5210111132366806,0.6025612479184275,35.0,30.2,15.1,1.0
118,MEI,7.1171875,8.485280990600586,13945.750000000002,11941.970000000003,1.3953850269317627,0.8605984449386597,460.0,1.5684269449802548,0.19206426077210076,26.7,22.8,30.9,1.0
119,MEL,5.2890625,7.402702331542969,34546.93000000001,22221.316000000006,1.217414140701294,0.7032331228256226,8160.0,2.0041866340101695,0.4595752210010161,38.9,38.9,26.8,1.0
120,MEP,1.7734375,5.610703945159912,18111.390000000003,10307.696000000002,1.2084208726882935,0.5493850708007812,7084.0,1.6493364902892904,0.19004656769287573,27.0,26.8,26.7,1.0
121,MER,4.1640625,6.5176682472229,11301.510000000002,7179.559000000002,1.196742296218872,0.6811805367469788,6375.0,1.8530212308413363,0.37223983130545957,26.9,26.9,18.1,1.0
122,MFI,5.2890625,7.426977634429932,35421.44000000001,23593.503000000004,1.2512996196746826,0.6997172832489014,20709.0,2.0599746854004746,0.4143410477276536,40.7,40.1,25.9,1.0
123,MFS,1.4921875,6.887670040130615,12671.760000000002,7626.5120000000015,1.1047989130020142,0.6422591209411621,216.0,1.5594449079970114,0.12077733800100841,14.0,27.4,36.9,1.0
124,MON,3.1796875,4.919349670410156,6484.280000000002,3651.5570000000007,0.9411188364028931,0.5085739493370056,2412.0,1.5964715292874203,0.10590241011885057,14.5,14.3,32.9,1.0
125,MOR,6.1328125,6.985699653625488,17300.180000000004,11447.899000000003,1.2096481323242188,0.6831879019737244,28700.0,2.8353678199114025,0.7453251622045908,35.2,38.6,15.1,1.0
126,MOZ,7.6796875,10.309219360351562,39699.200000000004,28482.59400000001,1.355675220489502,0.7511783838272095,293755.0,3.4761027779334843,1.029666377837617,60.9,52.6,15.4,1.0
127,MRE,2.0546875,6.393746852874756,16386.620000000003,9248.498000000001,1.1865992546081543,0.621880829334259,2064.0,1.5261593249048562,0.10578325857506446,15.5,28.9,40.5,1.0
128,MSE,6.5546875,7.113367557525635,41242.87000000001,29771.41800000001,1.2763328552246094,0.7510954141616821,92442.0,1.6717424890199504,0.20806949309455378,36.3,36.3,39.1,1.0
129,MSO,2.1953125,9.92370891571045,34772.29000000001,21631.236000000004,1.1572644710540771,0.7027925848960876,4352.0,1.6942706219043955,0.25232104879098377,34.9,30.2,37.4,1.0
130,MTF,3.8828125,6.225752830505371,16409.520000000004,8571.478000000003,1.004502296447754,0.5970460772514343,3650.0,3.1524329382377667,1.198348901840005,19.4,60.1,14.6,1.0
131,MTN,2.1953125,6.79705810546875,50764.93000000001,30860.04100000001,1.2997287511825562,0.6407648921012878,43316.0,1.6017893801941194,0.167782023973431,38.7,38.7,38.5,1.0
132,MTT,1.3515625,7.1161789894104,9660.940000000002,5259.108000000001,1.0576528310775757,0.5330523252487183,6955.0,1.99875707766084,0.33068440545977296,10.4,42.6,22.5,1.0
133,MTW,2.3359375,6.477654457092285,11314.140000000003,6709.266000000001,1.1474177837371826,0.6445351243019104,3990.0,2.052025919200148,0.6031878125745747,51.0,10.5,22.9,1.0
134,MVY,1.7734375,4.422668933868408,4859.680000000001,2315.2830000000004,0.8517938852310181,0.46028009057044983,570.0,1.5638205035580293,0.10894652420541384,9.9,17.5,27.1,1.0
135,MWW,2.3359375,9.92370891571045,28987.960000000006,20505.364000000005,1.2609249353408813,0.8083876371383667,15184.0,1.4006464717170166,0.10389879123189748,28.9,25.1,48.1,1.0
136,NAB,3.3203125,5.400000095367432,4235.910000000001,2702.5580000000004,1.0403306484222412,0.49291300773620605,352.0,1.6831358182330498,0.23314405593876328,14.4,14.4,22.6,1.0
137,NAT,4.3046875,5.817215919494629,7520.580000000002,5506.725000000001,1.2331711053848267,0.6540156006813049,33687.0,3.022767909185011,0.8063036354707307,27.8,26.3,12.8,1.0
138,NES,2.0546875,7.172168731689453,52604.39000000001,37246.77400000001,1.3071731328964233,0.7488261461257935,20253.0,1.7133052020787252,0.1880060544158285,51.1,28.1,44.6,1.0
139,NON,2.1953125,6.5176682472229,33446.12000000001,20329.693000000007,1.2075984477996826,0.5753297805786133,43416.0,1.9990450070578667,0.4442167559195813,44.4,30.5,27.6,1.0
140,NPO,4.1640625,4.634652137756348,2234.3000000000006,1266.7400000000002,1.1098836660385132,0.4722483158111572,416.0,2.7391417551544075,0.7775518502234574,16.2,14.1,10.5,1.0
141,NPT,3.6015625,10.073728561401367,14582.500000000004,12617.949000000002,1.664172649383545,0.7496510744094849,6825.0,1.5597683950543364,0.2049440108857923,27.6,27.7,25.9,1.0
142,NSI,2.0546875,4.171330451965332,4879.520000000001,2516.4110000000005,0.9920539855957031,0.38607174158096313,168.0,1.9256192911691177,0.3967646100180844,27.9,10.4,16.8,1.0
143,OBW,3.6015625,9.262828826904297,31815.280000000006,31989.984000000008,1.7736786603927612,0.9621015787124634,31824.0,1.3489868187090222,0.10597707396624158,27.7,27.7,61.7,1.0
