,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim
IMF,IMF,5.3681640625,7.397296803562772,39719.44000000001,23200.965000000004,2.228907864376689,0.67080142796178,924.0,1.5162424519488567,0.24511486157500406,28.8,113.4,40.3
IRN,IRN,2.8369140625,9.19565114605812,15602.250000000004,9623.340000000002,2.2905153655245623,0.890949552054204,2950.0,1.9655361638136977,0.34865881349614114,37.9,36.7,31.7
IRR,IRR,12.3642578125,14.926486525636232,11356.480000000001,13649.731000000003,3.1168243737618138,1.3321944329567066,252.0,2.118889660831781,0.4024520544513187,38.5,33.3,26.9
ISV,ISV,6.5986328125,7.149825172687791,10615.130000000003,7050.6370000000015,2.1163400748188916,0.8004140730176246,72.0,1.5046738958273826,0.1005816635462818,26.1,24.6,49.7
ITE,ITE,3.0126953125,8.323460818673926,10030.140000000001,6040.574000000001,2.244061280599499,0.8023669974275385,31.0,1.2646853714495083,0.12772789677878915,40.0,19.5,39.1
ITG,ITG,5.3330078125,8.54400374531753,7774.290000000002,4730.5700000000015,2.225775730407337,0.6811252874390618,221.0,1.6061761148775704,0.12664231732189163,26.0,24.0,42.1
ITH,ITH,4.9638671875,7.927168473042566,5947.990000000002,2790.6680000000006,1.8627442784463075,0.595754626992221,120.0,1.6320503331453473,0.13265809244161675,24.1,21.8,43.1
ITR,ITR,4.2080078125,6.907966415668217,14718.730000000003,8598.868000000002,2.106464007407071,0.6114771183188878,14454.0,1.70791269752181,0.17570112848857303,21.9,44.5,50.7
ITT,ITT,12.8037109375,14.247806848775008,9391.290000000003,10371.139000000003,2.9609832129766125,1.3396989354291264,4089.0,2.539128970891931,0.6397074331318632,39.2,32.4,22.9
ITW,ITW,3.7333984375,4.967896939349688,4180.1900000000005,1471.0980000000004,1.717410874677579,0.36272823790525743,63.0,1.3981255349715622,0.22860520643639518,20.6,30.6,17.1
IWR,IWR,5.8076171875,8.032434251209281,8588.450000000003,5961.897000000002,2.327170117095983,0.7926229641116472,195.0,2.0284241575423043,0.5012261200738704,40.4,26.1,24.1
IWS,IWS,7.0205078125,8.829496021857647,22445.640000000003,23433.580000000005,3.132578457723199,0.6282033559018457,27233.0,2.6448389673469577,0.6209275509012976,52.7,52.7,26.1
IWV,IWV,6.9150390625,8.8656641037206,27059.830000000005,22834.570000000007,2.3425785719111896,1.004800875334206,1760.0,3.0406817908453148,1.0520998150172793,56.5,51.3,27.9
